Date Time,Open,High,Low,Close,Volume,Adj Close
2018-02-18 10:45:00,0.0518,0.052,0.0512,0.0513,131212.70216452,0.0513
2018-02-18 10:30:00,0.0515,0.053,0.0514,0.0519,243622.54559424787,0.0519
2018-02-18 10:15:00,0.0511,0.0517,0.051,0.0515,179982.9909897,0.0515
2018-02-18 10:00:00,0.0521,0.0525,0.051,0.0513,322591.0104882464,0.0513
2018-02-18 09:45:00,0.0527,0.0528,0.0514,0.0521,332981.69902813,0.0521
2018-02-18 09:30:00,0.0529,0.0536,0.0527,0.0527,248487.30655592,0.0527
2018-02-18 09:15:00,0.0533,0.0533,0.0526,0.053,240897.78003008908,0.053
2018-02-18 09:00:00,0.0532,0.0535,0.0526,0.053,376829.8133948438,0.053
2018-02-18 08:45:00,0.0539,0.054,0.0526,0.0532,339814.47917089,0.0532
2018-02-18 08:30:00,0.054,0.0544,0.0532,0.0538,233076.62265919,0.0538
2018-02-18 08:15:00,0.0531,0.0547,0.053,0.0542,327481.8450476035,0.0542
2018-02-18 08:00:00,0.0525,0.0532,0.0523,0.0531,154492.93477961895,0.0531
2018-02-18 07:45:00,0.0523,0.0529,0.052,0.0525,160817.17888028,0.0525
2018-02-18 07:30:00,0.0526,0.0529,0.0523,0.0523,229020.46565574,0.0523
2018-02-18 07:15:00,0.0527,0.0529,0.0525,0.0526,176788.93342669,0.0526
2018-02-18 07:00:00,0.052,0.0527,0.052,0.0527,185538.70091083,0.0527
2018-02-18 06:45:00,0.0526,0.0527,0.0519,0.0519,73418.33923963,0.0519
2018-02-18 06:30:00,0.0521,0.0532,0.0519,0.0526,131307.25794889,0.0526
2018-02-18 06:15:00,0.0518,0.0529,0.0518,0.0521,93207.9559619,0.0521
2018-02-18 06:00:00,0.0526,0.0529,0.0519,0.0519,97734.06283803,0.0519
2018-02-18 05:45:00,0.053,0.0532,0.0525,0.0526,112628.66167564,0.0526
2018-02-18 05:30:00,0.0535,0.0537,0.0529,0.053,122321.62507483,0.053
2018-02-18 05:15:00,0.0534,0.0543,0.0527,0.0534,265875.5112511017,0.0534
2018-02-18 05:00:00,0.0517,0.0535,0.0516,0.0534,132154.09288187267,0.0534
2018-02-18 04:45:00,0.052,0.0521,0.0515,0.0515,51988.11509628,0.0515
2018-02-18 04:30:00,0.0515,0.0523,0.0512,0.052,135705.57590355544,0.052
2018-02-18 04:15:00,0.051,0.0516,0.0507,0.0516,72862.61717703,0.0516
2018-02-18 04:00:00,0.0513,0.0517,0.0509,0.0509,112535.96506501,0.0509
2018-02-18 03:45:00,0.0513,0.0519,0.0511,0.0513,55748.6423549,0.0513
2018-02-18 03:30:00,0.0522,0.0522,0.0513,0.0513,62648.21789902,0.0513
2018-02-18 03:15:00,0.0522,0.0525,0.052,0.0523,30021.25244647,0.0523
2018-02-18 03:00:00,0.0521,0.0525,0.0521,0.0522,68484.61508652502,0.0522
2018-02-18 02:45:00,0.0521,0.0524,0.0517,0.0522,149844.33369682,0.0522
2018-02-18 02:30:00,0.0515,0.0528,0.0515,0.0522,234784.69813069,0.0522
2018-02-18 02:15:00,0.0514,0.0522,0.0513,0.0515,279097.89096015,0.0515
2018-02-18 02:00:00,0.0533,0.0538,0.0511,0.0514,722415.3585010227,0.0514
2018-02-18 01:45:00,0.0543,0.0549,0.0524,0.0533,863947.6425605982,0.0533
2018-02-18 01:30:00,0.0508,0.0546,0.0508,0.0544,959821.1983362641,0.0544
2018-02-18 01:15:00,0.0499,0.051,0.0496,0.0509,315177.4548470511,0.0509
2018-02-18 01:00:00,0.0498,0.0515,0.0498,0.05,926366.9020120653,0.05
2018-02-18 00:45:00,0.0486,0.0499,0.0485,0.0497,596258.2357303512,0.0497
2018-02-18 00:30:00,0.0483,0.0486,0.0482,0.0486,169826.29701857,0.0486
2018-02-18 00:15:00,0.0483,0.0484,0.0477,0.0482,134190.86312719,0.0482
2018-02-18 00:00:00,0.0486,0.0487,0.0476,0.0482,290633.65524311044,0.0482
2018-02-17 23:45:00,0.0477,0.0487,0.0475,0.0483,373351.3974130427,0.0483
2018-02-17 23:30:00,0.0474,0.048,0.0473,0.0477,311243.3042163781,0.0477
2018-02-17 23:15:00,0.0474,0.0477,0.0471,0.0474,168550.40050587,0.0474
2018-02-17 23:00:00,0.0479,0.048,0.0471,0.0474,335766.28263826366,0.0474
2018-02-17 22:45:00,0.0469,0.048,0.0467,0.0479,793840.4215635756,0.0479
2018-02-17 22:30:00,0.0467,0.0481,0.0463,0.0469,1038997.3035752996,0.0469
2018-02-17 22:15:00,0.0461,0.0468,0.0456,0.0466,462751.5210206974,0.0466
2018-02-17 22:00:00,0.0449,0.0465,0.0448,0.0464,275982.34311210486,0.0464
2018-02-17 21:45:00,0.0451,0.0452,0.0447,0.0449,119317.2914831,0.0449
2018-02-17 21:30:00,0.0449,0.0452,0.0448,0.0451,70950.87699006,0.0451
2018-02-17 21:15:00,0.0445,0.0451,0.0445,0.0449,81894.99671029,0.0449
2018-02-17 21:00:00,0.0454,0.0456,0.0444,0.0445,208449.16313834,0.0445
2018-02-17 20:45:00,0.0457,0.0458,0.0453,0.0453,103017.21112259,0.0453
2018-02-17 20:30:00,0.0456,0.0458,0.0452,0.0457,60171.70509514,0.0457
2018-02-17 20:15:00,0.0457,0.046,0.0454,0.0456,196423.22060176,0.0456
2018-02-17 20:00:00,0.0451,0.0458,0.0447,0.0456,74233.14995028255,0.0456
2018-02-17 19:45:00,0.0452,0.0456,0.0448,0.045,101337.57983099,0.045
2018-02-17 19:30:00,0.0454,0.0458,0.0451,0.0454,190341.75666527,0.0454
2018-02-17 19:15:00,0.0449,0.0453,0.0447,0.0453,159728.90702911,0.0453
2018-02-17 19:00:00,0.0448,0.045,0.0445,0.045,193818.54959541914,0.045
2018-02-17 18:45:00,0.0447,0.045,0.0445,0.0448,186911.78516462,0.0448
2018-02-17 18:30:00,0.045,0.0452,0.0447,0.0449,178699.97315808,0.0449
2018-02-17 18:15:00,0.0449,0.0452,0.0447,0.045,96944.11382657,0.045
2018-02-17 18:00:00,0.0448,0.045,0.0444,0.045,231358.75574773,0.045
2018-02-17 17:45:00,0.0457,0.0458,0.0446,0.0449,247200.77962986,0.0449
2018-02-17 17:30:00,0.046,0.0462,0.0454,0.0458,126943.96272679,0.0458
2018-02-17 17:15:00,0.0462,0.0463,0.0459,0.046,77932.65985179,0.046
2018-02-17 17:00:00,0.046,0.0463,0.0459,0.0461,97754.47388719,0.0461
2018-02-17 16:45:00,0.0465,0.0466,0.0458,0.0459,225475.68111397,0.0459
2018-02-17 16:30:00,0.0465,0.0467,0.0462,0.0464,166237.41230322,0.0464
2018-02-17 16:15:00,0.0461,0.0467,0.046,0.0464,120204.70040080129,0.0464
2018-02-17 16:00:00,0.0463,0.0463,0.0458,0.046,61515.89656468,0.046
2018-02-17 15:45:00,0.0458,0.0469,0.0458,0.0462,197332.06419363,0.0462
2018-02-17 15:30:00,0.0461,0.0463,0.0458,0.0459,89468.26491997,0.0459
2018-02-17 15:15:00,0.0455,0.0462,0.0454,0.0462,94434.90300961,0.0462
2018-02-17 15:00:00,0.0468,0.047,0.0454,0.0455,364646.95355006,0.0455
2018-02-17 14:45:00,0.0458,0.0469,0.0458,0.0468,328826.12468583,0.0468
2018-02-17 14:30:00,0.0448,0.046,0.0448,0.0458,277073.40084247,0.0458
2018-02-17 14:15:00,0.0446,0.0449,0.0446,0.0448,103878.27811112,0.0448
2018-02-17 14:00:00,0.0445,0.0449,0.0444,0.0446,97076.64112129,0.0446
2018-02-17 13:45:00,0.0444,0.0445,0.0443,0.0444,16311.4845852,0.0444
2018-02-17 13:30:00,0.0444,0.0445,0.0442,0.0444,41536.24693017,0.0444
2018-02-17 13:15:00,0.0444,0.0445,0.0442,0.0443,47907.62218789,0.0443
2018-02-17 13:00:00,0.0445,0.0445,0.0443,0.0444,24421.42723788,0.0444
2018-02-17 12:45:00,0.0444,0.0446,0.0444,0.0445,31365.89062001,0.0445
2018-02-17 12:30:00,0.0446,0.0446,0.0444,0.0444,64366.88267908865,0.0444
2018-02-17 12:15:00,0.0446,0.0446,0.0444,0.0445,92882.87228828,0.0445
2018-02-17 12:00:00,0.0444,0.0447,0.0442,0.0446,104559.21002508,0.0446
2018-02-17 11:45:00,0.0442,0.0446,0.0441,0.0444,152814.92537946,0.0444
2018-02-17 11:30:00,0.0443,0.0443,0.0441,0.0442,66448.66119912,0.0442
2018-02-17 11:15:00,0.0445,0.0446,0.0442,0.0442,77363.91112366,0.0442
2018-02-17 11:00:00,0.044,0.0445,0.044,0.0445,82565.19329238,0.0445
2018-02-17 10:45:00,0.0447,0.0447,0.044,0.044,160983.87510594,0.044
2018-02-17 10:30:00,0.0445,0.0448,0.0444,0.0446,55183.41711131,0.0446
